src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,proto_num,norm_key,norm_ts,label
192.168.100.135,192.168.100.122,56292,80,6,2025-08-05 02:27:23,14.142644,83.78914154948679,0.7070813632868083,0.35354068164340413,0.35354068164340413,5,5,373,812,91,66,74.6,9.13454979733539,548,66,162.4,192.8,548,66,118.5,143.36962718790895,20554.85,100,100,20,3,1.571404888888889,10.000152,0.0,3.2478613532727603,14.142626,10.000176,0.0,3.5356565,4.09755855630847,14.14262,10.000175,4.3e-05,3.5356549999999998,4.097507936215865,3,1,0,0,2,0,0,4,10,0,0,1.0,118.5,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.6,162.4,0,5,5,373,812,6,"('192.168.100.122', '80', '192.168.100.135', '56292', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56300,80,6,2025-08-05 02:27:23,14.174933,86.63180277465862,0.7054707066340279,0.35273535331701394,0.35273535331701394,5,5,416,812,100,66,83.2,15.210522673465235,548,66,162.4,192.8,548,66,122.8,142.37190734130098,20269.759999999995,100,100,20,3,1.5749925555555555,10.000148,0.0,3.250708548612068,14.174909,10.000176,0.0,3.54372725,4.09877738974364,14.174905,10.000177,2.8e-05,3.54372625,4.0987182642689275,3,1,0,0,2,0,0,4,10,0,0,1.0,122.8,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.2,162.4,0,5,5,416,812,6,"('192.168.100.122', '80', '192.168.100.135', '56300', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56310,80,6,2025-08-05 02:27:23,14.207325,87.13814880704143,0.7038622682313525,0.3519311341156762,0.3519311341156762,5,5,426,812,106,66,85.2,16.277591959500644,548,66,162.4,192.8,548,66,123.8,142.1561113705633,20208.359999999997,100,100,20,3,1.5785916666666666,10.000141,0.0,3.2536096954312828,14.207301,10.000176,0.0,3.55182525,4.100047876868353,14.207289999999999,10.000174,3.5e-05,3.5518224999999997,4.100007226490003,3,1,0,0,2,0,0,4,10,0,0,1.0,123.8,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.2,162.4,0,5,5,426,812,6,"('192.168.100.122', '80', '192.168.100.135', '56310', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56322,80,6,2025-08-05 02:27:23,14.292887,91.79391119512803,0.6996487133775002,0.3498243566887501,0.3498243566887501,5,5,500,812,127,66,100.0,28.16380656090366,548,66,162.4,192.8,548,66,131.2,141.2655655140346,19955.960000000003,100,100,20,3,1.5880985555555556,10.000137,0.0,3.261371978413485,14.29287,10.000176,0.0,3.5732175,4.10363279909969,14.292848000000001,10.000177,2.9e-05,3.5732120000000003,4.103561314972581,3,1,0,0,2,0,0,4,10,0,0,1.0,131.2,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,162.4,0,5,5,500,812,6,"('192.168.100.122', '80', '192.168.100.135', '56322', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56326,80,6,2025-08-05 02:27:23,14.186966,86.76978573149466,0.7048723455036122,0.3524361727518061,0.3524361727518061,5,5,419,812,98,66,83.8,14.756693396557374,548,66,162.4,192.8,548,66,123.1,142.26485862643662,20239.29,100,100,20,3,1.5763295555555557,10.000132,0.0,3.251766256222544,14.186942,10.000176,0.0,3.5467355,4.099243794344604,14.186922000000001,10.000178,3.5e-05,3.5467305000000002,4.099174274696703,3,1,0,0,2,0,0,4,10,0,0,1.0,123.1,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.8,162.4,0,5,5,419,812,6,"('192.168.100.122', '80', '192.168.100.135', '56326', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56338,80,6,2025-08-05 02:27:23,14.237781,89.26952872782634,0.7023566382991844,0.3511783191495922,0.3511783191495922,5,5,459,812,114,66,91.8,21.766028576660467,548,66,162.4,192.8,548,66,127.1,141.66470979040614,20068.889999999992,100,100,20,3,1.5819756666666667,10.00017,0.0,3.256355948690294,14.237764000000002,10.000177,0.0,3.5594410000000005,4.101286465365899,14.237774,10.000178,2.7e-05,3.5594435,4.101222914001902,3,1,0,0,2,0,0,4,10,0,0,1.0,127.1,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.8,162.4,0,5,5,459,812,6,"('192.168.100.122', '80', '192.168.100.135', '56338', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56344,80,6,2025-08-05 02:27:23,14.187041,87.19224819326313,0.7048686191856356,0.3524343095928178,0.3524343095928178,5,5,425,812,105,66,85.0,17.469974241537965,548,66,162.4,192.8,548,66,123.7,142.25403333473537,20236.210000000003,100,100,20,3,1.576337888888889,10.000163,0.0,3.251813864668369,14.187036,10.000177,0.0,3.546759,4.099239902638964,14.187027,10.000177,3.1e-05,3.54675675,4.099224231037159,3,1,0,0,2,0,0,4,10,0,0,1.0,123.7,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,162.4,0,5,5,425,812,6,"('192.168.100.122', '80', '192.168.100.135', '56344', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56360,80,6,2025-08-05 02:27:23,15.264641,84.57454060007045,0.6551087575528308,0.3275543787764154,0.3275543787764154,5,5,479,812,122,66,95.8,25.30138336138955,548,66,162.4,192.8,548,66,129.1,141.4739905424315,20014.889999999992,100,100,20,3,1.6960712222222223,10.00016,0.0,3.3636385458608746,15.264634,10.000178,0.0,3.8161585,4.167298899430271,15.264623,10.000176,3.5e-05,3.8161557499999996,4.16727242621096,3,1,0,0,2,0,0,4,10,0,0,1.0,129.1,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.8,162.4,0,5,5,479,812,6,"('192.168.100.122', '80', '192.168.100.135', '56360', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56362,80,6,2025-08-05 02:27:23,15.194627,81.73942012528508,0.6581273762100247,0.32906368810501235,0.32906368810501235,5,5,430,812,108,66,86.0,18.88915032498815,548,66,162.4,192.8,548,66,124.2,142.2095636727713,20223.559999999998,100,100,20,3,1.688291888888889,10.000153,0.0,3.3554380536849076,15.194609,10.000178,0.0,3.79865225,4.161329047904189,15.194602,10.000174,2.8e-05,3.7986505,4.161282369431658,3,1,0,0,2,0,0,4,10,0,0,1.0,124.2,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,162.4,0,5,5,430,812,6,"('192.168.100.122', '80', '192.168.100.135', '56362', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56376,80,6,2025-08-05 02:27:23,15.142906,78.98087725037718,0.660375227845963,0.3301876139229815,0.3301876139229815,5,5,384,812,86,66,76.8,9.086253353280437,548,66,162.4,192.8,548,66,119.6,143.03510058723347,20459.039999999997,100,100,20,3,1.6825451111111112,10.000149,0.0,3.3494461975356944,15.142884,10.000178,0.0,3.785721,4.157049767405846,15.142876999999999,10.000174,3e-05,3.78571925,4.156968546499322,3,1,0,0,2,0,0,4,10,0,0,1.0,119.6,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.8,162.4,0,5,5,384,812,6,"('192.168.100.122', '80', '192.168.100.135', '56376', '6')",2025-08-05 02:27:23,
